Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00   191151     0.00     0.00  Halide::Internal::IntrusivePtr<Halide::Internal::IRNode const>::decref(Halide::Internal::IRNode const*)
  0.00      0.00     0.00   191151     0.00     0.00  Halide::Internal::IntrusivePtr<Halide::Internal::IRNode const>::~IntrusivePtr()
  0.00      0.00     0.00   173442     0.00     0.00  Halide::Internal::IRHandle::~IRHandle()
  0.00      0.00     0.00    66479     0.00     0.00  std::__atomic_base<int>::operator++()
  0.00      0.00     0.00    66464     0.00     0.00  std::__atomic_base<int>::operator--()
  0.00      0.00     0.00    66386     0.00     0.00  Halide::Internal::RefCount::decrement()
  0.00      0.00     0.00    65237     0.00     0.00  Halide::Internal::RefCount& Halide::Internal::ref_count<Halide::Internal::IRNode>(Halide::Internal::IRNode const*)
  0.00      0.00     0.00    11423     0.00     0.00  Halide::Expr::~Expr()
  0.00      0.00     0.00    10490     0.00     0.00  Halide::Expr* std::__addressof<Halide::Expr>(Halide::Expr&)
  0.00      0.00     0.00    10490     0.00     0.00  void std::_Destroy<Halide::Expr>(Halide::Expr*)
  0.00      0.00     0.00     8555     0.00     0.00  __gnu_cxx::new_allocator<Halide::Expr>::~new_allocator()
  0.00      0.00     0.00     5821     0.00     0.00  Halide::Internal::IRHandle::IRHandle(Halide::Internal::IRHandle&&)
  0.00      0.00     0.00     5638     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char>(char*)
  0.00      0.00     0.00     5638     0.00     0.00  std::iterator_traits<char*>::difference_type std::__distance<char*>(char*, char*, std::random_access_iterator_tag)
  0.00      0.00     0.00     5638     0.00     0.00  std::iterator_traits<char*>::iterator_category std::__iterator_category<char*>(char* const&)
  0.00      0.00     0.00     5638     0.00     0.00  std::iterator_traits<char*>::difference_type std::distance<char*>(char*, char*)
  0.00      0.00     0.00     5617     0.00     0.00  void Halide::Internal::destroy<Halide::Internal::IRNode>(Halide::Internal::IRNode const*)
  0.00      0.00     0.00     5032     0.00     0.00  void std::_Destroy_aux<false>::__destroy<Halide::Expr*>(Halide::Expr*, Halide::Expr*)
  0.00      0.00     0.00     5032     0.00     0.00  void std::_Destroy<Halide::Expr*>(Halide::Expr*, Halide::Expr*)
  0.00      0.00     0.00     4718     0.00     0.00  std::allocator<Halide::Expr>::~allocator()
  0.00      0.00     0.00     4718     0.00     0.00  std::_Vector_base<Halide::Expr, std::allocator<Halide::Expr> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00     4718     0.00     0.00  std::_Vector_base<Halide::Expr, std::allocator<Halide::Expr> >::_M_deallocate(Halide::Expr*, unsigned long)
  0.00      0.00     0.00     4718     0.00     0.00  std::_Vector_base<Halide::Expr, std::allocator<Halide::Expr> >::_M_get_Tp_allocator()
  0.00      0.00     0.00     4718     0.00     0.00  std::_Vector_base<Halide::Expr, std::allocator<Halide::Expr> >::~_Vector_base()
  0.00      0.00     0.00     4718     0.00     0.00  void std::_Destroy<Halide::Expr*, Halide::Expr>(Halide::Expr*, Halide::Expr*, std::allocator<Halide::Expr>&)
  0.00      0.00     0.00     4151     0.00     0.00  __gnu_cxx::new_allocator<Halide::Expr>::deallocate(Halide::Expr*, unsigned long)
  0.00      0.00     0.00     4151     0.00     0.00  std::allocator_traits<std::allocator<Halide::Expr> >::deallocate(std::allocator<Halide::Expr>&, Halide::Expr*, unsigned long)
  0.00      0.00     0.00     4035     0.00     0.00  Halide::Internal::IntrusivePtr<Halide::Internal::BufferContents>::decref(Halide::Internal::BufferContents*)
  0.00      0.00     0.00     4035     0.00     0.00  Halide::Internal::IntrusivePtr<Halide::Internal::BufferContents>::~IntrusivePtr()
  0.00      0.00     0.00     3412     0.00     0.00  Halide::Internal::IntrusivePtr<Halide::Internal::ParameterContents>::decref(Halide::Internal::ParameterContents*)
  0.00      0.00     0.00     3412     0.00     0.00  Halide::Internal::IntrusivePtr<Halide::Internal::ParameterContents>::~IntrusivePtr()
  0.00      0.00     0.00     2716     0.00     0.00  Halide::Internal::IntrusivePtr<Halide::Internal::ReductionDomainContents>::decref(Halide::Internal::ReductionDomainContents*)
  0.00      0.00     0.00     2716     0.00     0.00  Halide::Internal::IntrusivePtr<Halide::Internal::ReductionDomainContents>::~IntrusivePtr()
  0.00      0.00     0.00     2658     0.00     0.00  Halide::Internal::IntrusivePtr<Halide::Internal::ReductionDomainContents>::incref(Halide::Internal::ReductionDomainContents*)
  0.00      0.00     0.00     2424     0.00     0.00  std::remove_reference<Halide::Internal::BufferContents*&>::type&& std::move<Halide::Internal::BufferContents*&>(Halide::Internal::BufferContents*&)
  0.00      0.00     0.00     1363     0.00     0.00  Halide::Type::Type(halide_type_code_t, int, int, halide_handle_cplusplus_type const*)
  0.00      0.00     0.00     1017     0.00     0.00  std::char_traits<char>::compare(char const*, char const*, unsigned long)
  0.00      0.00     0.00      906     0.00     0.00  Halide::Buffer<void>::~Buffer()
  0.00      0.00     0.00      808     0.00     0.00  Halide::Internal::IntrusivePtr<Halide::Internal::BufferContents>::operator=(Halide::Internal::IntrusivePtr<Halide::Internal::BufferContents>&&)
  0.00      0.00     0.00      808     0.00     0.00  std::remove_reference<Halide::Internal::IntrusivePtr<Halide::Internal::BufferContents>&>::type&& std::move<Halide::Internal::IntrusivePtr<Halide::Internal::BufferContents>&>(Halide::Internal::IntrusivePtr<Halide::Internal::BufferContents>&)
  0.00      0.00     0.00      808     0.00     0.00  void std::swap<Halide::Internal::BufferContents*>(Halide::Internal::BufferContents*&, Halide::Internal::BufferContents*&)
  0.00      0.00     0.00      807     0.00     0.00  Halide::Buffer<void>::defined() const
  0.00      0.00     0.00      806     0.00     0.00  void Halide::Buffer<void>::assert_can_convert_from<void>(Halide::Buffer<void> const&)
  0.00      0.00     0.00      758     0.00     0.00  Halide::Expr::Expr(Halide::Expr&&)
  0.00      0.00     0.00      758     0.00     0.00  std::remove_reference<Halide::Expr&>::type&& std::move<Halide::Expr&>(Halide::Expr&)
